,idx,state,rating
1341,1341,California,3.5
3638,3638,Texas,4.0
3731,3731,Texas,3.5
6441,6441,Texas,3.5
6499,6499,Texas,4.0
6500,6500,Texas,4.0
8544,8544,Texas,4.0
8607,8607,Texas,3.5
9793,9793,California,3.0
9960,9960,California,3.0
11641,11641,Florida,4.0
15407,15407,Texas,3.5
15627,15627,Texas,3.0
15835,15835,Texas,3.5
19226,19226,Texas,3.5
19274,19274,Texas,4.0
19322,19322,Texas,3.5
19571,19571,Texas,3.0
19678,19678,Texas,4.0
19683,19683,Texas,3.5
33200,33200,California,3.5
33319,33319,California,1.0
33560,33560,California,3.0
33667,33667,California,2.5
33826,33826,California,2.5
34654,34654,California,3.5
34731,34731,California,3.5
34862,34862,California,3.0
38739,38739,California,3.5
38757,38757,California,2.5
38779,38779,California,2.5
41066,41066,Florida,4.5
41782,41782,Florida,3.0
41874,41874,Florida,3.5
41978,41978,Florida,2.5
47238,47238,Texas,3.5
47253,47253,Texas,3.5
47382,47382,Texas,3.0
51592,51592,Florida,2.5
51696,51696,Florida,3.5
52360,52360,California,3.0
52647,52647,California,2.0
52664,52664,California,2.5
52715,52715,California,2.5
52738,52738,California,2.0
55220,55220,California,3.0
55344,55344,California,3.5
55920,55920,California,2.5
56218,56218,California,4.0
56358,56358,California,3.5
56410,56410,California,3.0
56476,56476,California,3.5
56592,56592,California,2.5
57210,57210,Texas,3.5
58295,58295,California,3.0
58608,58608,California,3.0
58726,58726,California,2.5
61134,61134,California,3.5
61396,61396,California,3.5
68175,68175,Texas,3.0
68323,68323,Texas,3.5
68529,68529,Texas,3.5
68649,68649,Texas,3.0
68759,68759,Texas,3.0
72405,72405,Florida,3.5
72516,72516,Florida,3.0
72520,72520,Florida,3.0
73043,73043,California,3.0
73057,73057,California,3.5
73191,73191,California,3.0
73729,73729,California,3.0
74093,74093,California,3.0
74241,74241,California,2.5
74248,74248,California,3.0
74253,74253,California,3.0
74400,74400,California,2.5
78085,78085,Florida,3.0
78511,78511,Florida,3.0
78631,78631,Florida,3.5
78850,78850,Texas,3.5
81354,81354,Texas,4.5
81404,81404,Texas,4.0
81610,81610,Texas,2.5
88996,88996,Texas,3.5
89136,89136,Texas,3.0
89345,89345,Texas,3.0
89696,89696,Texas,3.0
91978,91978,Florida,4.5
92007,92007,Florida,3.5
93173,93173,Texas,3.0
93766,93766,Texas,2.5
94115,94115,California,3.0
94160,94160,California,3.0
94342,94342,California,2.5
94610,94610,California,3.0
98109,98109,California,3.0
98581,98581,California,2.5
98643,98643,California,2.0
101109,101109,California,3.5
101158,101158,California,3.0
101587,101587,California,4.0
104040,104040,California,2.5
104062,104062,California,2.5
104411,104411,California,2.5
104835,104835,California,3.5
106201,106201,California,2.5
106646,106646,California,3.0
106820,106820,California,3.0
107025,107025,California,2.5
107504,107504,California,2.0
107685,107685,California,3.0
107739,107739,California,2.5
108798,108798,Illinois,3.5
108927,108927,Illinois,2.5
109334,109334,Illinois,3.0
109354,109354,Illinois,3.0
109638,109638,Illinois,3.0
110233,110233,California,3.5
110278,110278,California,2.5
112205,112205,California,2.0
112246,112246,California,3.0
113489,113489,Texas,3.5
122642,122642,Florida,3.0
122743,122743,Florida,3.0
122912,122912,Florida,2.5
123661,123661,Texas,2.0
126406,126406,Florida,3.5
126679,126679,Florida,4.5
126995,126995,Florida,3.0
129951,129951,California,3.0
130159,130159,California,3.0
130228,130228,California,3.0
132029,132029,Florida,3.5
132504,132504,Florida,3.5
134121,134121,Florida,3.5
134289,134289,Florida,2.5
134529,134529,Florida,2.5
135951,135951,California,3.0
135952,135952,California,3.5
136082,136082,California,3.0
136506,136506,California,3.5
136885,136885,California,3.5
136935,136935,California,3.0
137103,137103,California,3.0
137420,137420,California,4.0
137983,137983,California,3.0
138051,138051,California,3.0
139116,139116,California,2.5
139639,139639,California,3.0
139656,139656,California,5.0
141786,141786,California,3.0
141825,141825,California,3.5
142124,142124,California,3.0
142137,142137,California,2.5
142412,142412,Texas,2.5
142475,142475,Texas,4.0
143315,143315,California,3.0
145302,145302,Florida,3.0
145344,145344,Florida,2.5
145893,145893,Florida,4.5
148177,148177,California,2.5
148189,148189,California,4.0
148345,148345,California,3.0
152287,152287,Texas,2.5
152309,152309,Texas,2.5
152447,152447,Texas,3.5
152653,152653,Texas,2.0
154078,154078,California,2.5
154339,154339,California,3.5
155719,155719,California,2.5
155860,155860,California,3.5
156277,156277,California,2.5
156828,156828,California,2.5
157315,157315,California,1.5
160562,160562,Texas,3.0
160622,160622,Texas,2.0
161711,161711,California,3.0
163250,163250,California,2.5
164230,164230,Florida,3.0
164386,164386,Florida,3.0
166067,166067,California,3.0
166107,166107,California,3.5
166410,166410,California,2.0
167542,167542,Illinois,2.5
167614,167614,Illinois,2.5
167906,167906,Illinois,3.0
168218,168218,Illinois,3.0
168238,168238,Illinois,4.0
168486,168486,Illinois,3.5
168981,168981,Illinois,3.5
169466,169466,California,3.0
169620,169620,California,2.5
170247,170247,Illinois,3.0
170330,170330,Illinois,3.5
170351,170351,Illinois,3.0
170606,170606,Illinois,3.0
170648,170648,Illinois,4.0
170848,170848,Illinois,3.5
173919,173919,Texas,2.5
175196,175196,Texas,3.0
175235,175235,Texas,4.0
175271,175271,Texas,4.5
176568,176568,Texas,4.5
176615,176615,Texas,3.5
177084,177084,Texas,4.5
177813,177813,California,3.0
177945,177945,California,3.0
179462,179462,California,3.0
179722,179722,California,3.0
179741,179741,California,3.0
180323,180323,California,3.5
180703,180703,California,3.0
180917,180917,California,2.5
181099,181099,California,3.0
181363,181363,California,3.5
182878,182878,Florida,4.5
183038,183038,Florida,2.5
183040,183040,Florida,2.5
183065,183065,Florida,3.0
183320,183320,Florida,2.5
188603,188603,Texas,3.0
189012,189012,Texas,3.5
189104,189104,Texas,3.0
191610,191610,Texas,3.5
191646,191646,Texas,3.0
191758,191758,Texas,3.0
192513,192513,Texas,3.0
192805,192805,Texas,4.0
194100,194100,California,3.5
194114,194114,California,3.5
194244,194244,California,2.5
194825,194825,California,3.0
196763,196763,Florida,2.5
196814,196814,Florida,3.0
196852,196852,Florida,3.0
198033,198033,California,3.0
198338,198338,California,2.5
198753,198753,Florida,2.5
198782,198782,Florida,2.0
199178,199178,Florida,3.0
199192,199192,Florida,2.0
201553,201553,California,3.5
201708,201708,California,3.0
202672,202672,California,2.5
202922,202922,California,3.0
202924,202924,California,3.0
203204,203204,California,2.0
203326,203326,California,3.0
206658,206658,California,3.0
208023,208023,California,2.0
208073,208073,California,2.5
208549,208549,California,3.0
210170,210170,California,3.5
210459,210459,California,3.0
210513,210513,California,2.5
210745,210745,Texas,3.0
212043,212043,California,2.5
213236,213236,California,3.0
213287,213287,California,3.5
213916,213916,Texas,2.5
213917,213917,Texas,3.0
214459,214459,Texas,2.5
218267,218267,Texas,3.0
218644,218644,Texas,3.5
219087,219087,Texas,4.5
224141,224141,California,3.0
224618,224618,California,3.0
224927,224927,Illinois,3.5
225366,225366,California,3.0
226487,226487,Florida,3.5
226715,226715,Florida,3.0
227018,227018,Florida,4.0
227410,227410,Illinois,2.5
227727,227727,Illinois,3.5
228435,228435,California,3.0
228720,228720,California,3.5
228848,228848,California,3.5
229160,229160,California,4.0
229191,229191,California,3.0
231379,231379,Texas,2.5
231443,231443,Texas,2.5
231926,231926,Texas,3.0
232065,232065,Texas,3.5
232367,232367,Texas,3.5
232815,232815,Texas,3.0
233442,233442,California,2.5
233675,233675,California,2.0
234829,234829,Florida,4.5
235471,235471,California,3.0
235546,235546,California,2.5
236065,236065,California,3.0
236193,236193,California,3.0
236548,236548,California,3.0
237320,237320,Texas,3.5
237501,237501,Texas,3.0
238451,238451,Illinois,3.0
238492,238492,Illinois,3.0
238619,238619,Illinois,2.5
238957,238957,Illinois,3.5
238975,238975,Illinois,3.0
239118,239118,California,3.0
239372,239372,California,3.0
241697,241697,California,3.5
241829,241829,California,3.0
242593,242593,California,3.5
243383,243383,California,3.0
246804,246804,Florida,2.5
249523,249523,California,3.0
249538,249538,California,3.0
250002,250002,California,2.5
250459,250459,Florida,2.5
250460,250460,Florida,2.5
251220,251220,Florida,2.5
254115,254115,Florida,2.5
256049,256049,California,3.5
256194,256194,California,2.5
257897,257897,California,3.0
257979,257979,California,1.5
258372,258372,California,2.5
258400,258400,California,1.0
258598,258598,California,2.5
258928,258928,California,2.5
259343,259343,California,2.0
259864,259864,Florida,3.0
259933,259933,Florida,3.0
260730,260730,California,3.0
261892,261892,California,3.0
264812,264812,Texas,3.5
265297,265297,Texas,3.0
265543,265543,Texas,3.5
265563,265563,Texas,4.0
265677,265677,Texas,2.0
266226,266226,Texas,3.5
266724,266724,California,3.0
266844,266844,California,3.0
268650,268650,California,2.5
268794,268794,California,3.0
268892,268892,California,2.5
269533,269533,California,4.0
269708,269708,California,3.0
270041,270041,California,3.0
271060,271060,California,3.0
271111,271111,California,2.5
271379,271379,California,2.5
271482,271482,California,2.5
271502,271502,California,2.0
271947,271947,California,2.5
271949,271949,California,2.5
273440,273440,Texas,3.5
273861,273861,Texas,3.0
274471,274471,Florida,2.5
274644,274644,Florida,3.0
274912,274912,Florida,2.0
276758,276758,California,4.0
277161,277161,California,3.0
277333,277333,California,3.0
277410,277410,California,3.5
280723,280723,Texas,3.0
281099,281099,Texas,2.5
281111,281111,Texas,4.0
283194,283194,California,2.5
285587,285587,California,2.0
288756,288756,California,3.0
289231,289231,California,3.0
289240,289240,California,3.0
289289,289289,California,3.0
289484,289484,California,3.0
289500,289500,California,3.0
290785,290785,Florida,3.5
290793,290793,Florida,3.0
290906,290906,Florida,2.5
291051,291051,Florida,2.0
291330,291330,Florida,2.5
294530,294530,California,2.0
295352,295352,California,3.0
295355,295355,California,3.0
296042,296042,California,3.0
296532,296532,California,3.0
296605,296605,California,4.0
296771,296771,California,3.0
302747,302747,Florida,3.0
302773,302773,Florida,2.0
302921,302921,Florida,2.0
303099,303099,Florida,2.0
303644,303644,California,2.5
303745,303745,California,3.5
303849,303849,California,3.0
306490,306490,California,2.5
307422,307422,Florida,2.0
308189,308189,Florida,2.5
308275,308275,Florida,2.0
308304,308304,Florida,3.0
309877,309877,California,3.0
310054,310054,California,2.5
310610,310610,California,3.5
310761,310761,California,2.5
311201,311201,California,2.5
312401,312401,California,3.0
313009,313009,California,3.5
313122,313122,California,2.5
313680,313680,California,3.0
314394,314394,California,3.0
318074,318074,California,2.5
318587,318587,California,2.5
318870,318870,California,3.0
320234,320234,Florida,3.5
320240,320240,Florida,3.5
321732,321732,California,3.0
324165,324165,California,2.0
324278,324278,California,2.5
324847,324847,California,2.0
324946,324946,California,3.0
327074,327074,California,3.0
327533,327533,California,3.5
327849,327849,California,3.5
327992,327992,California,3.0
329161,329161,Illinois,2.5
329367,329367,Illinois,3.5
329648,329648,Illinois,2.5
329824,329824,Illinois,3.0
329923,329923,Illinois,3.0
329976,329976,Illinois,2.5
330208,330208,Texas,3.5
330267,330267,Texas,3.0
331657,331657,California,3.5
331668,331668,California,2.5
333689,333689,California,3.0
334281,334281,California,2.5
334380,334380,California,3.0
335500,335500,Texas,4.5
335648,335648,Texas,4.5
337309,337309,California,3.0
337753,337753,California,3.5
337770,337770,California,3.5
337793,337793,California,3.0
337932,337932,California,3.5
337954,337954,California,3.5
338515,338515,California,2.0
338566,338566,California,2.5
340455,340455,California,3.0
340777,340777,California,2.5
341214,341214,Illinois,3.0
344143,344143,California,3.0
348390,348390,California,3.0
348514,348514,California,3.0
349595,349595,California,3.0
349919,349919,California,3.0
355436,355436,Texas,3.5
355441,355441,Texas,4.5
356327,356327,Texas,3.0
356769,356769,California,3.0
356770,356770,California,3.0
356785,356785,California,3.0
357080,357080,California,3.0
357259,357259,California,3.0
357422,357422,California,3.0
357472,357472,California,2.5
357505,357505,California,3.0
357510,357510,California,3.0
357890,357890,California,2.5
358048,358048,California,3.0
359041,359041,Florida,2.0
359409,359409,Florida,3.5
359748,359748,Illinois,3.0
360033,360033,Illinois,2.5
361536,361536,California,2.5
362081,362081,Texas,2.5
362153,362153,Texas,2.5
362568,362568,Texas,3.0
363339,363339,California,2.0
363418,363418,California,3.0
363453,363453,California,2.5
363897,363897,Texas,3.5
368095,368095,Florida,2.5
368244,368244,Florida,3.5
368985,368985,California,2.5
372735,372735,California,3.0
372958,372958,California,2.0
373664,373664,California,3.0
373739,373739,California,3.0
374726,374726,California,3.0
375102,375102,California,3.0
375506,375506,California,3.0
376461,376461,Florida,2.5
376833,376833,Florida,3.0
376838,376838,Florida,2.5
377046,377046,Florida,3.5
379575,379575,California,3.0
379578,379578,California,2.0
380661,380661,California,2.5
381230,381230,California,3.0
381311,381311,California,3.0
382376,382376,Illinois,3.5
382561,382561,Illinois,4.0
382603,382603,Illinois,3.0
383193,383193,California,2.5
383409,383409,California,2.5
384439,384439,California,3.0
384722,384722,California,3.0
384887,384887,California,3.0
384929,384929,California,2.5
385094,385094,California,2.5
386320,386320,Texas,4.5
386352,386352,Texas,4.5
386606,386606,Texas,3.5
386663,386663,Texas,4.5
386827,386827,Texas,4.5
387018,387018,Texas,4.0
388203,388203,California,3.0
388271,388271,California,2.5
388508,388508,California,3.0
388532,388532,California,3.5
390559,390559,Florida,3.5
390839,390839,Florida,3.0
391009,391009,Florida,3.0
392394,392394,California,3.0
393946,393946,California,3.5
394008,394008,California,3.0
394370,394370,California,3.0
394777,394777,California,3.0
397011,397011,California,2.0
397486,397486,California,3.0
397611,397611,California,2.5
397682,397682,California,3.0
397700,397700,California,3.0
398018,398018,Texas,3.0
398257,398257,Texas,3.0
398455,398455,Texas,3.5
398523,398523,Texas,2.0
399907,399907,California,3.0
400306,400306,California,3.0
400403,400403,California,2.0
400428,400428,California,2.5
401035,401035,Florida,2.5
401511,401511,Florida,3.0
404042,404042,Illinois,2.5
404331,404331,Illinois,2.5
404689,404689,Illinois,3.0
404690,404690,Illinois,2.5
404965,404965,California,2.5
405254,405254,California,3.0
407002,407002,Illinois,3.0
407624,407624,Illinois,3.5
407701,407701,Illinois,3.0
407727,407727,Illinois,2.5
407809,407809,Illinois,3.0
409387,409387,Texas,2.5
409871,409871,Texas,3.5
410196,410196,Illinois,4.0
410886,410886,Illinois,3.0
410992,410992,Illinois,3.0
411445,411445,Illinois,3.0
411447,411447,Illinois,3.0
411560,411560,Illinois,2.5
411688,411688,Illinois,3.5
411996,411996,Illinois,2.5
414898,414898,Texas,3.5
415233,415233,Texas,5.0
415388,415388,Texas,3.5
416142,416142,Texas,3.0
416587,416587,Texas,3.0
417114,417114,Texas,2.5
417145,417145,Texas,4.0
417383,417383,Texas,3.5
417394,417394,Texas,3.5
421015,421015,California,2.5
422226,422226,California,3.0
422522,422522,California,3.5
422630,422630,California,2.5
424589,424589,California,3.5
424617,424617,California,3.5
424997,424997,California,3.5
425009,425009,California,3.0
425037,425037,California,3.0
426622,426622,Florida,2.0
426788,426788,Florida,2.0
430594,430594,California,3.0
430626,430626,California,3.0
430929,430929,California,3.0
431240,431240,California,2.5
431897,431897,California,2.0
431969,431969,California,2.5
431994,431994,California,3.0
432451,432451,California,3.5
433216,433216,California,3.0
433235,433235,California,3.0
433246,433246,California,3.0
433318,433318,California,2.5
435834,435834,Florida,2.5
435886,435886,Florida,2.5
436009,436009,Florida,3.0
436139,436139,Florida,3.0
436147,436147,Florida,2.5
436261,436261,Florida,2.0
436654,436654,Texas,3.0
436668,436668,Texas,3.0
436976,436976,Texas,3.0
437160,437160,Texas,2.5
437515,437515,Texas,3.0
438051,438051,Florida,4.0
438458,438458,Florida,3.5
438808,438808,Florida,2.5
438987,438987,Florida,3.5
438992,438992,Florida,3.5
441148,441148,California,3.0
441550,441550,California,3.0
441611,441611,California,2.5
441873,441873,California,2.0
443306,443306,Texas,3.0
443463,443463,Texas,3.0
443763,443763,Texas,3.5
444638,444638,Illinois,2.0
444898,444898,Illinois,3.0
444964,444964,Illinois,2.5
445036,445036,Illinois,2.5
445082,445082,Illinois,2.5
445118,445118,Illinois,2.5
445143,445143,Illinois,2.5
447984,447984,California,2.5
448044,448044,California,3.0
448414,448414,California,3.0
448984,448984,California,3.0
449271,449271,Florida,3.5
449774,449774,Florida,2.5
449916,449916,Florida,3.0
450897,450897,California,3.0
450911,450911,California,3.0
451379,451379,California,3.5
452868,452868,Texas,4.0
455177,455177,Florida,3.0
455628,455628,Florida,2.5
455635,455635,Florida,3.5
455782,455782,Florida,2.5
455793,455793,Florida,2.0
456112,456112,California,2.5
456423,456423,California,3.5
456894,456894,California,3.0
456963,456963,California,2.5
457053,457053,Texas,3.0
457446,457446,Texas,3.0
457518,457518,Texas,3.0
457526,457526,Texas,3.0
457638,457638,Texas,2.5
458982,458982,California,3.0
459138,459138,California,2.5
459438,459438,California,3.0
462890,462890,California,3.5
463817,463817,Florida,3.0
464109,464109,Florida,3.0
464347,464347,Florida,3.0
468796,468796,Texas,2.0
469180,469180,Texas,3.0
469556,469556,Texas,3.5
469618,469618,Texas,3.5
469680,469680,Texas,5.0
471003,471003,California,3.0
471086,471086,California,2.5
471712,471712,California,3.0
471821,471821,California,3.0
472037,472037,California,2.5
472384,472384,California,2.5
473459,473459,Florida,2.0
473602,473602,Florida,2.0
477983,477983,California,3.0
478241,478241,California,3.5
480538,480538,California,4.5
480610,480610,California,2.5
480941,480941,California,2.5
481233,481233,California,3.5
481784,481784,California,3.5
481906,481906,California,3.0
483077,483077,Florida,3.0
483747,483747,Illinois,3.0
483800,483800,Illinois,3.0
485014,485014,California,2.0
485209,485209,California,3.0
485304,485304,California,3.0
485334,485334,California,4.0
485369,485369,California,3.0
486664,486664,Florida,2.0
486950,486950,Florida,3.0
486962,486962,Florida,1.5
487361,487361,Florida,2.0
487569,487569,Florida,2.5
487608,487608,Florida,3.0
489432,489432,California,2.5
490987,490987,California,3.5
491475,491475,California,3.5
491957,491957,California,3.5
492004,492004,California,3.0
492181,492181,California,3.5
495265,495265,California,3.0
495325,495325,California,3.5
495466,495466,California,3.5
495467,495467,California,2.5
496101,496101,California,2.5
496313,496313,California,3.0
499983,499983,Florida,3.0
501552,501552,Texas,2.5
501784,501784,Texas,2.5
501863,501863,Texas,3.0
502312,502312,Texas,5.0
502343,502343,Texas,3.5
504850,504850,California,2.5
505077,505077,California,3.0
505373,505373,California,2.0
507783,507783,California,2.5
508101,508101,California,3.0
508225,508225,California,3.0
508694,508694,California,3.5
508730,508730,California,3.0
509077,509077,California,3.5
509968,509968,Florida,3.0
510193,510193,Florida,3.0
510547,510547,California,2.5
514882,514882,California,3.5
514931,514931,California,3.0
515753,515753,California,3.0
515776,515776,California,3.0
515885,515885,California,3.0
516529,516529,California,3.0
521308,521308,California,2.5
521329,521329,California,3.5
522083,522083,California,3.0
522406,522406,California,4.0
522786,522786,California,4.0
522791,522791,California,3.0
525566,525566,California,3.0
525620,525620,California,2.0
525982,525982,California,2.5
526082,526082,California,3.0
526614,526614,Florida,2.0
526961,526961,Florida,3.0
527243,527243,Florida,3.5
527272,527272,Florida,2.5
527882,527882,Florida,3.0
529440,529440,Texas,2.5
529951,529951,Texas,2.5
529978,529978,Texas,3.0
533813,533813,California,3.0
534043,534043,California,2.5
535058,535058,California,2.5
535436,535436,California,3.0
535450,535450,California,2.0
535727,535727,Illinois,3.0
535923,535923,Illinois,3.5
536106,536106,Illinois,4.0
536116,536116,Illinois,2.5
537889,537889,Florida,3.5
537922,537922,Florida,3.5
538210,538210,Florida,4.0
538325,538325,Florida,3.5
538333,538333,Florida,3.5
538427,538427,Florida,3.0
538454,538454,Florida,3.0
539178,539178,California,2.5
539297,539297,California,3.0
539327,539327,California,3.0
542459,542459,Illinois,2.5
542907,542907,Florida,4.5
542924,542924,Florida,2.5
543613,543613,Florida,3.0
543781,543781,Florida,3.5
544419,544419,Florida,2.0
544434,544434,Florida,2.5
544570,544570,Florida,2.0
544782,544782,Florida,2.5
544844,544844,California,3.0
545145,545145,California,4.0
551758,551758,Illinois,2.5
551798,551798,Illinois,3.5
551990,551990,Illinois,3.0
552069,552069,Illinois,2.0
552082,552082,Illinois,2.5
552659,552659,California,3.0
553272,553272,California,3.5
553285,553285,California,2.5
553290,553290,California,3.0
554711,554711,Florida,3.0
554887,554887,Florida,3.5
555096,555096,Florida,3.0
556738,556738,California,3.0
557295,557295,California,3.0
557297,557297,California,3.5
557845,557845,Illinois,2.5
557941,557941,Illinois,2.5
558104,558104,Illinois,3.0
558541,558541,Illinois,2.0
558671,558671,Illinois,2.0
558791,558791,California,3.0
559143,559143,California,3.0
559546,559546,California,3.0
559670,559670,California,2.5
562498,562498,Illinois,2.5
563188,563188,Illinois,3.0
563572,563572,Florida,2.5
563573,563573,Florida,2.5
565098,565098,California,3.5
565535,565535,Texas,3.5
568513,568513,California,2.5
568888,568888,California,3.0
570618,570618,California,3.0
570656,570656,California,3.0
570721,570721,California,3.0
571265,571265,California,2.5
571831,571831,California,2.5
571877,571877,California,2.5
572199,572199,California,2.0
573680,573680,Texas,3.0
574076,574076,Texas,3.5
574252,574252,Texas,3.0
574325,574325,Texas,3.0
576049,576049,California,2.5
576246,576246,California,3.0
576479,576479,California,2.0
578297,578297,California,2.5
580276,580276,Illinois,4.0
580282,580282,Illinois,3.0
580339,580339,Illinois,3.5
580809,580809,Florida,3.5
581315,581315,Illinois,2.5
581641,581641,Illinois,2.5
581678,581678,Illinois,2.5
581719,581719,Illinois,3.5
581734,581734,Illinois,2.5
581785,581785,Illinois,2.5
581825,581825,Illinois,3.0
582363,582363,California,3.5
582387,582387,California,3.0
582571,582571,California,3.0
584333,584333,Florida,2.5
584532,584532,Florida,3.0
586603,586603,Illinois,3.5
586740,586740,Illinois,3.0
586967,586967,Illinois,3.0
587017,587017,Illinois,3.0
587082,587082,Illinois,3.0
587145,587145,Illinois,3.0
587164,587164,Illinois,3.5
588841,588841,California,3.0
588931,588931,California,3.0
590936,590936,California,2.5
591522,591522,California,3.5
591725,591725,California,2.5
591777,591777,California,3.0
594915,594915,Texas,2.0
599243,599243,California,3.5
599273,599273,California,3.0
599467,599467,California,3.5
600002,600002,California,3.0
600325,600325,California,3.0
600571,600571,California,3.0
600597,600597,California,2.5
600717,600717,California,3.5
600997,600997,California,2.5
601071,601071,California,3.0
601966,601966,Florida,3.0
602310,602310,Florida,4.0
602551,602551,Florida,2.0
602698,602698,Florida,3.0
602700,602700,Florida,3.0
602850,602850,Florida,3.5
603270,603270,Texas,3.5
603539,603539,Texas,2.5
603722,603722,Texas,3.0
604105,604105,Texas,3.0
604165,604165,Texas,2.0
605360,605360,California,3.0
605570,605570,California,3.0
605972,605972,California,3.5
607465,607465,Illinois,3.0
608168,608168,Illinois,2.5
608373,608373,Illinois,3.0
608420,608420,Illinois,2.5
608769,608769,Illinois,3.0
609014,609014,Illinois,3.5
610754,610754,California,3.0
614539,614539,Florida,4.5
614564,614564,Florida,3.5
614715,614715,Florida,2.5
615707,615707,California,3.0
615926,615926,California,2.0
618368,618368,California,3.5
618704,618704,California,2.5
618720,618720,California,3.5
